num,text,timestamp,label,cleaned_text,sentiment
23933298,They make Hurricane Sandy sound like a big deal. I gotta run to the supermarket now to stock up on food. #nojoke,41209.64722,1,They make Hurricane Sandy sound like a big deal I gotta run to the supermarket now to stock up on food,0.3612
619454798,The kitchen was out of mad food tonight so I told the customers that hurricane sandy delayed our delivery truck to save my ass.,41213.17083,1,The kitchen was out of mad food tonight so I told the customers that hurricane sandy delayed our delivery truck to save my ass,-0.6597
885698120,Hundreds if not thousands of people lost their homes and loved ones to hurricane sandy. Kids at southside still complain about their food.,41213.16736,1,Hundreds if not thousands of people lost their homes and loved ones to hurricane sandy Kids at southside still complain about their food,0.0258
145900244,"“@_KingDing_ALing: My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.” ",41213.15625,1,My TL right now The Heat The Lakers Hurricane Sandy Some bitch begging for a cuddle buddy food,-0.5859
477093805,#YouGainMajorPointsIf you go to dollarama while hurricane sandy's having a fit just to get me delicious food @J_kelso21,41213.14375,0,you go to dollarama while hurricane sandys having a fit just to get me delicious food,0.7351
71372194,"$50 in food and $60 in liquor later, we hit the Hurricane Sandy party a day too late #sorryboutit",41213.13472,1,50 in food and 60 in liquor later we hit the Hurricane Sandy party a day too late,0.4019
261804690,"My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.",41213.12361,1,My TL right now The Heat The Lakers Hurricane Sandy Some bitch begging for a cuddle buddy food,-0.5859
127224530,"Food And Wine Top story: The Ultimate Hurricane Sandy Dining Guide to NYC - Hurrica… http://ny.eater.com/archives/2012/10/the_ultimate_hurricane_sandy_dining_guide_to_nyc.php …, see more http://tweetedtimes.com/The_CityOfRoses/food …",41213.12361,1,Food And Wine Top story The Ultimate Hurricane Sandy Dining Guide to NYC Hurrica see more,0.2023
42301660,junk food + magic mike with hurricane sandy http://instagr.am/p/RbkLi5Lhxi/ ,41213.12222,0,junk food magic mike with hurricane sandy,0.0
147786861,"“@HuffingtonPost: WATCH: Donnie Wahlberg's home gets flooded due to Hurricane Sandy http://huff.to/XV2ZZx ” ""saving some food"" lol. Such a bro",41213.10903,1,WATCH Donnie Wahlbergs home gets flooded due to Hurricane Sandy saving some food lol Such a bro,0.4215
455500604,Because of hurricane sandy I am now pregnant..... With an enormous food baby #octomom,41213.10347,1,Because of hurricane sandy I am now pregnant With an enormous food baby,0.0
39857325,I say a prayer for all those up north affected by Hurricane Sandy.. Thousands of people still have no electricity or food.. #BLESS :-(,41213.08611,1,I say a prayer for all those up north affected by Hurricane Sandy Thousands of people still have no electricity or food,-0.4215
751184984,Healthy food to stock up during hurricane #sandy. video here http://bit.ly/freeraw ,41213.05903,0,Healthy food to stock up during hurricane video here,0.4019
175576528,"""Keep Food and Family Safe During Power Outage from Hurricane Sandy"" http://bit.ly/SsaFRB  via @emaxhealth",41213.05486,0,Keep Food and Family Safe During Power Outage from Hurricane Sandy via,0.4404
49538964,"Really! posting fake pictures of Hurricane Sandy, people have lost homes, jobs, relatives, and food, show some compassion, assholes!",41213.04514,1,Really posting fake pictures of Hurricane Sandy people have lost homes jobs relatives and food show some compassion assholes,-0.7564
343305182,Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge - DailyFinance http://buff.ly/SsX8sV  | #law #jobs #firm #hiring #careers #attor…,41213.04444,1,Food Safety Tips if Hurricane Sandy Knocked Out Your Fridge DailyFinance,0.4215
214329366,Good to know! RT @modernmom: No power? Find out what #food could make your #family sick! Hurricane #Sandy #safety http://mmom.me/SsPezN ,41213.03472,1,Good to know RT No power Find out what could make your sick Hurricane,-0.3818
32485188,Want to help? We're packaging natural food products & green cleaners to those affected by Hurricane Sandy http://www.facebook.com/gwellness  #shakleecares,41213.025,1,Want to help Were packaging natural food products green cleaners to those affected by Hurricane Sandy,0.5994
27258345,"WBNG: Getting Food to East Coast: Kirkwood, NY (WBNG Binghamton) Hurricane Sandy spared most of the Twin Tiers, ... http://bit.ly/T302lG ",41213.00903,0,WBNG Getting Food to East Coast Kirkwood NY WBNG Binghamton Hurricane Sandy spared most of the Twin Tiers,0.0
344102044,Hurricane Sandy: Keeping food safe if the power goes out  http://bit.ly/Sel68y  #hurricane #Sandy,41213.0,0,Hurricane Sandy Keeping food safe if the power goes out,0.4404
15891280,"It's truly like an apocalypse. Everyone playing neighborhood watch, sharing food. This is fucked up and I'm in the middle #hurricane #sandy",41212.98958,1,Its truly like an apocalypse Everyone playing neighborhood watch sharing food This is fucked up and Im in the middle,0.5574
102255917,"Price hikes for electricity, gas, food not expected in aftermath of Hurricane Sandy - http://bit.ly/T2U7gs  #Harrisburg #Pennsylvania",41212.98542,1,Price hikes for electricity gas food not expected in aftermath of Hurricane Sandy,0.0
61587526,Hurricane Sandy: Pre-Storm Mayhem Hits NYC Whole Foods | Daily ... http://bit.ly/YkOspb ,41212.98403,1,Hurricane Sandy PreStorm Mayhem Hits NYC Whole Foods Daily,0.0
95302876,"Hurricane Sandy was a bitch ass bitch, but at least the Chinese food restaurants were open! http://instagr.am/p/RbNVXih-lN/ ",41212.98333,1,Hurricane Sandy was a bitch ass bitch but at least the Chinese food restaurants were open,-0.7227
